,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,owns_car,Age,age_group,wealth_segment,postcode,state,country,property_valuation,recency,owns_car_flag
0,1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 11:27:25,17.869999999999997,Male,19.0,Software Engineer I,Financial Services,Yes,66.0,60+,Mass Customer,3064.0,Victoria,Australia,6.0,308,1
1,2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 11:35:01,1702.5499999999997,Female,89.0,Clinical Specialist,Health,Yes,42.0,40-50,Mass Customer,2196.0,New South Wales,Australia,5.0,223,1
2,3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 10:06:01,1544.6100000000001,Male,9.0,Desktop Support Technician,Retail,No,44.0,40-50,Affluent Customer,2835.0,New South Wales,Australia,1.0,75,0
3,4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1970-01-01 10:02:25,817.36,Male,83.0,Staff Scientist,Financial Services,No,59.0,50-60,Mass Customer,2096.0,New South Wales,Australia,10.0,121,0
5,6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 10:50:31,709.34,Male,3.0,Web Designer II,Property,Yes,63.0,60+,Affluent Customer,2153.0,New South Wales,Australia,10.0,297,1
6,7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1970-01-01 09:29:25,15.080000000000005,Male,56.0,Food Chemist,Health,Yes,43.0,40-50,Mass Customer,2155.0,New South Wales,Australia,10.0,253,1
8,9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1970-01-01 09:17:35,690.49,Male,97.0,Executive Secretary,Financial Services,Yes,51.0,50-60,High Net Worth,4124.0,QLD,Australia,4.0,142,1
9,10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 10:36:56,1069.5500000000002,Male,65.0,Product Engineer,Entertainment,No,62.0,60+,Mass Customer,4221.0,QLD,Australia,8.0,122,0
11,12,61,2783,2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,1970-01-01 11:42:52,14.229999999999997,Male,14.0,Sales Representative,Retail,Yes,43.0,40-50,Affluent Customer,2171.0,New South Wales,Australia,9.0,359,1
12,13,35,1243,2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1970-01-01 09:35:27,903.11,Male,73.0,Research Assistant II,Retail,No,68.0,60+,Mass Customer,2155.0,New South Wales,Australia,11.0,307,0
13,14,16,2717,2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,1970-01-01 09:36:26,182.81000000000017,Male,31.0,Registered Nurse,Health,No,40.0,30-40,Mass Customer,2580.0,New South Wales,Australia,5.0,111,0
14,15,12,247,2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 10:36:33,1055.82,Female,62.0,Staff Accountant II,Financial Services,Yes,38.0,30-40,High Net Worth,2283.0,New South Wales,Australia,4.0,202,1
15,16,3,2961,2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 10:31:13,1702.5499999999997,Male,56.0,Assistant Manager,Health,Yes,46.0,40-50,Mass Customer,3031.0,Victoria,Australia,8.0,81,1
17,18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 09:24:48,144.26,Male,89.0,Accountant IV,Financial Services,No,44.0,40-50,Mass Customer,2250.0,New South Wales,Australia,8.0,211,0
18,19,54,2268,2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1970-01-01 11:05:15,1279.3999999999999,Female,66.0,Pharmacist,Health,No,56.0,50-60,Mass Customer,3218.0,Victoria,Australia,8.0,268,0
19,20,25,3002,2017-01-28,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 10:22:17,709.34,Male,62.0,Paralegal,Financial Services,Yes,65.0,60+,Mass Customer,2470.0,New South Wales,Australia,2.0,336,1
