,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,owns_car,Age,age_group,wealth_segment,postcode,state,country,property_valuation,recency,owns_car_flag
0,18,33,1842,2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 09:24:48,144.26,Male,89.0,Accountant IV,Financial Services,No,44.0,40-50,Mass Customer,2250.0,New South Wales,Australia,8.0,211,0
1,22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 10:06:01,1544.6100000000001,Male,72.0,VP Marketing,Financial Services,No,48.0,40-50,Mass Customer,4305.0,QLD,Australia,4.0,184,0
2,41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 10:27:48,1660.88,Male,13.0,Professor,Financial Services,Yes,44.0,40-50,Mass Customer,4812.0,QLD,Australia,3.0,236,1
3,95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1970-01-01 09:27:51,356.5,Male,91.0,Environmental Tech,Financial Services,No,44.0,40-50,Mass Customer,4019.0,QLD,Australia,8.0,307,0
4,104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 10:36:33,1055.82,Female,37.0,Financial Advisor,Financial Services,No,43.0,40-50,Mass Customer,2519.0,New South Wales,Australia,9.0,109,0
5,152,92,648,2017-10-16,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,1970-01-01 10:13:53,155.6500000000001,Male,86.0,Accountant II,Financial Services,Yes,43.0,40-50,Mass Customer,4551.0,QLD,Australia,7.0,75,1
6,205,58,1842,2017-05-27,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,1970-01-01 11:44:55,771.12,Male,89.0,Accountant IV,Financial Services,No,44.0,40-50,Mass Customer,2250.0,New South Wales,Australia,8.0,217,0
7,265,20,834,2017-06-26,0.0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,1970-01-01 11:11:43,195.33999999999992,Male,37.0,Environmental Tech,Financial Services,No,48.0,40-50,Mass Customer,3199.0,Victoria,Australia,7.0,187,0
8,278,9,754,2017-06-03,0.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1970-01-01 09:19:09,75.13999999999999,Female,15.0,Senior Financial Analyst,Financial Services,No,42.0,40-50,Mass Customer,3850.0,Victoria,Australia,4.0,210,0
9,296,91,1524,2017-03-14,1.0,Approved,Solex,Standard,medium,medium,100.35,75.26,1970-01-01 10:31:14,25.08999999999999,Female,7.0,Administrative Officer,Financial Services,Yes,46.0,40-50,Mass Customer,2760.0,New South Wales,Australia,8.0,291,1
